term,lemma,lang,type,pos
linkiáu,link,ast,verb_participle_descriptive,VERB
tag,tag,ast,noun_raw,NOUN
tages,tag,ast,noun_plural_native,NOUN
tags,tag,ast,noun_plural_english,NOUN
facer tag,tag,ast,verb_light_construction,VERB
facer un tag,tag,ast,verb_light_construction,VERB
fizo tag,tag,ast,verb_light_construction,VERB
fizo un tag,tag,ast,verb_light_construction,VERB
fai tag,tag,ast,verb_light_construction,VERB
fai un tag,tag,ast,verb_light_construction,VERB
facemos tag,tag,ast,verb_light_construction,VERB
facemos un tag,tag,ast,verb_light_construction,VERB
faen tag,tag,ast,verb_light_construction,VERB
faen un tag,tag,ast,verb_light_construction,VERB
faciendo tag,tag,ast,verb_light_construction,VERB
faciendo un tag,tag,ast,verb_light_construction,VERB
fechu tag,tag,ast,verb_light_construction,VERB
fechu un tag,tag,ast,verb_light_construction,VERB
taguiar,tag,ast,verb_morph_prescriptive,VERB
taguiáu,tag,ast,verb_participle_prescriptive,VERB
tagiar,tag,ast,verb_morph_descriptive,VERB
tagiáu,tag,ast,verb_participle_descriptive,VERB
tuit,tweet,ast,noun_raw,NOUN
tuites,tweet,ast,noun_plural_native,NOUN
tuits,tweet,ast,noun_plural_english,NOUN
facer tuit,tweet,ast,verb_light_construction,VERB
facer un tuit,tweet,ast,verb_light_construction,VERB
fizo tuit,tweet,ast,verb_light_construction,VERB
fizo un tuit,tweet,ast,verb_light_construction,VERB
fai tuit,tweet,ast,verb_light_construction,VERB
fai un tuit,tweet,ast,verb_light_construction,VERB
facemos tuit,tweet,ast,verb_light_construction,VERB
facemos un tuit,tweet,ast,verb_light_construction,VERB
faen tuit,tweet,ast,verb_light_construction,VERB
faen un tuit,tweet,ast,verb_light_construction,VERB
faciendo tuit,tweet,ast,verb_light_construction,VERB
faciendo un tuit,tweet,ast,verb_light_construction,VERB
fechu tuit,tweet,ast,verb_light_construction,VERB
fechu un tuit,tweet,ast,verb_light_construction,VERB
tuitiar,tweet,ast,verb_morph_prescriptive,VERB
tuitiáu,tweet,ast,verb_participle_prescriptive,VERB
escan,scan,ast,noun_raw,NOUN
escanes,scan,ast,noun_plural_native,NOUN
escans,scan,ast,noun_plural_english,NOUN
facer escan,scan,ast,verb_light_construction,VERB
facer un escan,scan,ast,verb_light_construction,VERB
fizo escan,scan,ast,verb_light_construction,VERB
fizo un escan,scan,ast,verb_light_construction,VERB
fai escan,scan,ast,verb_light_construction,VERB
fai un escan,scan,ast,verb_light_construction,VERB
facemos escan,scan,ast,verb_light_construction,VERB
facemos un escan,scan,ast,verb_light_construction,VERB
faen escan,scan,ast,verb_light_construction,VERB
faen un escan,scan,ast,verb_light_construction,VERB
faciendo escan,scan,ast,verb_light_construction,VERB
faciendo un escan,scan,ast,verb_light_construction,VERB
fechu escan,scan,ast,verb_light_construction,VERB
fechu un escan,scan,ast,verb_light_construction,VERB
escaniar,scan,ast,verb_morph_prescriptive,VERB
escaniáu,scan,ast,verb_participle_prescriptive,VERB
format,format,ast,noun_raw,NOUN
formates,format,ast,noun_plural_native,NOUN
formats,format,ast,noun_plural_english,NOUN
facer format,format,ast,verb_light_construction,VERB
facer un format,format,ast,verb_light_construction,VERB
fizo format,format,ast,verb_light_construction,VERB
fizo un format,format,ast,verb_light_construction,VERB
fai format,format,ast,verb_light_construction,VERB
fai un format,format,ast,verb_light_construction,VERB
facemos format,format,ast,verb_light_construction,VERB
facemos un format,format,ast,verb_light_construction,VERB
faen format,format,ast,verb_light_construction,VERB
faen un format,format,ast,verb_light_construction,VERB
faciendo format,format,ast,verb_light_construction,VERB
faciendo un format,format,ast,verb_light_construction,VERB
fechu format,format,ast,verb_light_construction,VERB
fechu un format,format,ast,verb_light_construction,VERB
formatiar,format,ast,verb_morph_prescriptive,VERB
formatiáu,format,ast,verb_participle_prescriptive,VERB
hack,hack,ast,noun_raw,NOUN
hackes,hack,ast,noun_plural_native,NOUN
hacks,hack,ast,noun_plural_english,NOUN
facer hack,hack,ast,verb_light_construction,VERB
facer un hack,hack,ast,verb_light_construction,VERB
fizo hack,hack,ast,verb_light_construction,VERB
fizo un hack,hack,ast,verb_light_construction,VERB
fai hack,hack,ast,verb_light_construction,VERB
fai un hack,hack,ast,verb_light_construction,VERB
facemos hack,hack,ast,verb_light_construction,VERB
facemos un hack,hack,ast,verb_light_construction,VERB
faen hack,hack,ast,verb_light_construction,VERB
faen un hack,hack,ast,verb_light_construction,VERB
faciendo hack,hack,ast,verb_light_construction,VERB
faciendo un hack,hack,ast,verb_light_construction,VERB
fechu hack,hack,ast,verb_light_construction,VERB
fechu un hack,hack,ast,verb_light_construction,VERB
haquiar,hack,ast,verb_morph_prescriptive,VERB
haquiáu,hack,ast,verb_participle_prescriptive,VERB
hackiar,hack,ast,verb_morph_descriptive,VERB
hackiáu,hack,ast,verb_participle_descriptive,VERB
ban,ban,ast,noun_raw,NOUN
banes,ban,ast,noun_plural_native,NOUN
bans,ban,ast,noun_plural_english,NOUN
facer ban,ban,ast,verb_light_construction,VERB
facer un ban,ban,ast,verb_light_construction,VERB
fizo ban,ban,ast,verb_light_construction,VERB
fizo un ban,ban,ast,verb_light_construction,VERB
fai ban,ban,ast,verb_light_construction,VERB
fai un ban,ban,ast,verb_light_construction,VERB
facemos ban,ban,ast,verb_light_construction,VERB
facemos un ban,ban,ast,verb_light_construction,VERB
faen ban,ban,ast,verb_light_construction,VERB
faen un ban,ban,ast,verb_light_construction,VERB
faciendo ban,ban,ast,verb_light_construction,VERB
faciendo un ban,ban,ast,verb_light_construction,VERB
fechu ban,ban,ast,verb_light_construction,VERB
fechu un ban,ban,ast,verb_light_construction,VERB
baniar,ban,ast,verb_morph_prescriptive,VERB
baniáu,ban,ast,verb_participle_prescriptive,VERB
log,log,ast,noun_raw,NOUN
loges,log,ast,noun_plural_native,NOUN
logs,log,ast,noun_plural_english,NOUN
facer log,log,ast,verb_light_construction,VERB
facer un log,log,ast,verb_light_construction,VERB
fizo log,log,ast,verb_light_construction,VERB
fizo un log,log,ast,verb_light_construction,VERB
fai log,log,ast,verb_light_construction,VERB
fai un log,log,ast,verb_light_construction,VERB
facemos log,log,ast,verb_light_construction,VERB
facemos un log,log,ast,verb_light_construction,VERB
faen log,log,ast,verb_light_construction,VERB
faen un log,log,ast,verb_light_construction,VERB
faciendo log,log,ast,verb_light_construction,VERB
faciendo un log,log,ast,verb_light_construction,VERB
fechu log,log,ast,verb_light_construction,VERB
fechu un log,log,ast,verb_light_construction,VERB
loguiar,log,ast,verb_morph_prescriptive,VERB
loguiáu,log,ast,verb_participle_prescriptive,VERB
logiar,log,ast,verb_morph_descriptive,VERB
logiáu,log,ast,verb_participle_descriptive,VERB
reset,reset,ast,noun_raw,NOUN
resetes,reset,ast,noun_plural_native,NOUN
resets,reset,ast,noun_plural_english,NOUN
facer reset,reset,ast,verb_light_construction,VERB
facer un reset,reset,ast,verb_light_construction,VERB
fizo reset,reset,ast,verb_light_construction,VERB
fizo un reset,reset,ast,verb_light_construction,VERB
fai reset,reset,ast,verb_light_construction,VERB
fai un reset,reset,ast,verb_light_construction,VERB
facemos reset,reset,ast,verb_light_construction,VERB
facemos un reset,reset,ast,verb_light_construction,VERB
faen reset,reset,ast,verb_light_construction,VERB
faen un reset,reset,ast,verb_light_construction,VERB
faciendo reset,reset,ast,verb_light_construction,VERB
faciendo un reset,reset,ast,verb_light_construction,VERB
fechu reset,reset,ast,verb_light_construction,VERB
fechu un reset,reset,ast,verb_light_construction,VERB
resetiar,reset,ast,verb_morph_prescriptive,VERB
resetiáu,reset,ast,verb_participle_prescriptive,VERB
download,download,ast,noun_raw,NOUN
downloades,download,ast,noun_plural_native,NOUN
downloads,download,ast,noun_plural_english,NOUN
facer download,download,ast,verb_light_construction,VERB
facer un download,download,ast,verb_light_construction,VERB
fizo download,download,ast,verb_light_construction,VERB
fizo un download,download,ast,verb_light_construction,VERB
fai download,download,ast,verb_light_construction,VERB
fai un download,download,ast,verb_light_construction,VERB
facemos download,download,ast,verb_light_construction,VERB
facemos un download,download,ast,verb_light_construction,VERB
faen download,download,ast,verb_light_construction,VERB
faen un download,download,ast,verb_light_construction,VERB
faciendo download,download,ast,verb_light_construction,VERB
faciendo un download,download,ast,verb_light_construction,VERB
fechu download,download,ast,verb_light_construction,VERB
fechu un download,download,ast,verb_light_construction,VERB
downloadiar,download,ast,verb_morph_prescriptive,VERB
downloadiáu,download,ast,verb_participle_prescriptive,VERB
estream,stream,ast,noun_raw,NOUN
estreames,stream,ast,noun_plural_native,NOUN
estreams,stream,ast,noun_plural_english,NOUN
facer estream,stream,ast,verb_light_construction,VERB
facer un estream,stream,ast,verb_light_construction,VERB
fizo estream,stream,ast,verb_light_construction,VERB
fizo un estream,stream,ast,verb_light_construction,VERB
fai estream,stream,ast,verb_light_construction,VERB
fai un estream,stream,ast,verb_light_construction,VERB
facemos estream,stream,ast,verb_light_construction,VERB
facemos un estream,stream,ast,verb_light_construction,VERB
faen estream,stream,ast,verb_light_construction,VERB
faen un estream,stream,ast,verb_light_construction,VERB
faciendo estream,stream,ast,verb_light_construction,VERB
faciendo un estream,stream,ast,verb_light_construction,VERB
fechu estream,stream,ast,verb_light_construction,VERB
fechu un estream,stream,ast,verb_light_construction,VERB
estreamiar,stream,ast,verb_morph_prescriptive,VERB
estreamiáu,stream,ast,verb_participle_prescriptive,VERB
like,like,ast,noun_raw,NOUN
likes,like,ast,noun_plural_native,NOUN
facer like,like,ast,verb_light_construction,VERB
facer un like,like,ast,verb_light_construction,VERB
fizo like,like,ast,verb_light_construction,VERB
fizo un like,like,ast,verb_light_construction,VERB
fai like,like,ast,verb_light_construction,VERB
fai un like,like,ast,verb_light_construction,VERB
facemos like,like,ast,verb_light_construction,VERB
facemos un like,like,ast,verb_light_construction,VERB
faen like,like,ast,verb_light_construction,VERB
faen un like,like,ast,verb_light_construction,VERB
faciendo like,like,ast,verb_light_construction,VERB
faciendo un like,like,ast,verb_light_construction,VERB
fechu like,like,ast,verb_light_construction,VERB
fechu un like,like,ast,verb_light_construction,VERB
liquiar,like,ast,verb_morph_prescriptive,VERB
liquiáu,like,ast,verb_participle_prescriptive,VERB
likiar,like,ast,verb_morph_descriptive,VERB
likiáu,like,ast,verb_participle_descriptive,VERB
escroll,scroll,ast,noun_raw,NOUN
escrolles,scroll,ast,noun_plural_native,NOUN
escrolls,scroll,ast,noun_plural_english,NOUN
facer escroll,scroll,ast,verb_light_construction,VERB
facer un escroll,scroll,ast,verb_light_construction,VERB
fizo escroll,scroll,ast,verb_light_construction,VERB
fizo un escroll,scroll,ast,verb_light_construction,VERB
fai escroll,scroll,ast,verb_light_construction,VERB
fai un escroll,scroll,ast,verb_light_construction,VERB
facemos escroll,scroll,ast,verb_light_construction,VERB
facemos un escroll,scroll,ast,verb_light_construction,VERB
faen escroll,scroll,ast,verb_light_construction,VERB
faen un escroll,scroll,ast,verb_light_construction,VERB
faciendo escroll,scroll,ast,verb_light_construction,VERB
faciendo un escroll,scroll,ast,verb_light_construction,VERB
fechu escroll,scroll,ast,verb_light_construction,VERB
fechu un escroll,scroll,ast,verb_light_construction,VERB
escrolliar,scroll,ast,verb_morph_prescriptive,VERB
escrolliáu,scroll,ast,verb_participle_prescriptive,VERB
update,update,ast,noun_raw,NOUN
updates,update,ast,noun_plural_native,NOUN
facer update,update,ast,verb_light_construction,VERB
facer un update,update,ast,verb_light_construction,VERB
fizo update,update,ast,verb_light_construction,VERB
fizo un update,update,ast,verb_light_construction,VERB
fai update,update,ast,verb_light_construction,VERB
fai un update,update,ast,verb_light_construction,VERB
facemos update,update,ast,verb_light_construction,VERB
facemos un update,update,ast,verb_light_construction,VERB
faen update,update,ast,verb_light_construction,VERB
faen un update,update,ast,verb_light_construction,VERB
faciendo update,update,ast,verb_light_construction,VERB
faciendo un update,update,ast,verb_light_construction,VERB
fechu update,update,ast,verb_light_construction,VERB
fechu un update,update,ast,verb_light_construction,VERB
updatiar,update,ast,verb_morph_prescriptive,VERB
updatiáu,update,ast,verb_participle_prescriptive,VERB
forward,forward,ast,noun_raw,NOUN
forwardes,forward,ast,noun_plural_native,NOUN
forwards,forward,ast,noun_plural_english,NOUN
facer forward,forward,ast,verb_light_construction,VERB
facer un forward,forward,ast,verb_light_construction,VERB
fizo forward,forward,ast,verb_light_construction,VERB
fizo un forward,forward,ast,verb_light_construction,VERB
fai forward,forward,ast,verb_light_construction,VERB
fai un forward,forward,ast,verb_light_construction,VERB
facemos forward,forward,ast,verb_light_construction,VERB
facemos un forward,forward,ast,verb_light_construction,VERB
faen forward,forward,ast,verb_light_construction,VERB
faen un forward,forward,ast,verb_light_construction,VERB
faciendo forward,forward,ast,verb_light_construction,VERB
faciendo un forward,forward,ast,verb_light_construction,VERB
fechu forward,forward,ast,verb_light_construction,VERB
fechu un forward,forward,ast,verb_light_construction,VERB
forwardiar,forward,ast,verb_morph_prescriptive,VERB
forwardiáu,forward,ast,verb_participle_prescriptive,VERB
espam,spam,ast,noun_raw,NOUN
espames,spam,ast,noun_plural_native,NOUN
espams,spam,ast,noun_plural_english,NOUN
facer espam,spam,ast,verb_light_construction,VERB
facer un espam,spam,ast,verb_light_construction,VERB
fizo espam,spam,ast,verb_light_construction,VERB
fizo un espam,spam,ast,verb_light_construction,VERB
fai espam,spam,ast,verb_light_construction,VERB
fai un espam,spam,ast,verb_light_construction,VERB
facemos espam,spam,ast,verb_light_construction,VERB
facemos un espam,spam,ast,verb_light_construction,VERB
faen espam,spam,ast,verb_light_construction,VERB
faen un espam,spam,ast,verb_light_construction,VERB
faciendo espam,spam,ast,verb_light_construction,VERB
faciendo un espam,spam,ast,verb_light_construction,VERB
fechu espam,spam,ast,verb_light_construction,VERB
fechu un espam,spam,ast,verb_light_construction,VERB
espamiar,spam,ast,verb_morph_prescriptive,VERB
espamiáu,spam,ast,verb_participle_prescriptive,VERB
check,check,ast,noun_raw,NOUN
checkes,check,ast,noun_plural_native,NOUN
checks,check,ast,noun_plural_english,NOUN
facer check,check,ast,verb_light_construction,VERB
facer un check,check,ast,verb_light_construction,VERB
fizo check,check,ast,verb_light_construction,VERB
fizo un check,check,ast,verb_light_construction,VERB
fai check,check,ast,verb_light_construction,VERB
fai un check,check,ast,verb_light_construction,VERB
facemos check,check,ast,verb_light_construction,VERB
facemos un check,check,ast,verb_light_construction,VERB
faen check,check,ast,verb_light_construction,VERB
faen un check,check,ast,verb_light_construction,VERB
faciendo check,check,ast,verb_light_construction,VERB
faciendo un check,check,ast,verb_light_construction,VERB
fechu check,check,ast,verb_light_construction,VERB
fechu un check,check,ast,verb_light_construction,VERB
chequiar,check,ast,verb_morph_prescriptive,VERB
chequiáu,check,ast,verb_participle_prescriptive,VERB
checkiar,check,ast,verb_morph_descriptive,VERB
checkiáu,check,ast,verb_participle_descriptive,VERB
espoiler,spoiler,ast,noun_raw,NOUN
espoileres,spoiler,ast,noun_plural_native,NOUN
espoilers,spoiler,ast,noun_plural_english,NOUN
facer espoiler,spoiler,ast,verb_light_construction,VERB
facer un espoiler,spoiler,ast,verb_light_construction,VERB
fizo espoiler,spoiler,ast,verb_light_construction,VERB
fizo un espoiler,spoiler,ast,verb_light_construction,VERB
fai espoiler,spoiler,ast,verb_light_construction,VERB
fai un espoiler,spoiler,ast,verb_light_construction,VERB
facemos espoiler,spoiler,ast,verb_light_construction,VERB
facemos un espoiler,spoiler,ast,verb_light_construction,VERB
faen espoiler,spoiler,ast,verb_light_construction,VERB
faen un espoiler,spoiler,ast,verb_light_construction,VERB
faciendo espoiler,spoiler,ast,verb_light_construction,VERB
faciendo un espoiler,spoiler,ast,verb_light_construction,VERB
fechu espoiler,spoiler,ast,verb_light_construction,VERB
fechu un espoiler,spoiler,ast,verb_light_construction,VERB
espoileriar,spoiler,ast,verb_morph_prescriptive,VERB
espoileriáu,spoiler,ast,verb_participle_prescriptive,VERB
troll,troll,ast,noun_raw,NOUN
trolles,troll,ast,noun_plural_native,NOUN
trolls,troll,ast,noun_plural_english,NOUN
facer troll,troll,ast,verb_light_construction,VERB
facer un troll,troll,ast,verb_light_construction,VERB
fizo troll,troll,ast,verb_light_construction,VERB
fizo un troll,troll,ast,verb_light_construction,VERB
fai troll,troll,ast,verb_light_construction,VERB
fai un troll,troll,ast,verb_light_construction,VERB
facemos troll,troll,ast,verb_light_construction,VERB
facemos un troll,troll,ast,verb_light_construction,VERB
faen troll,troll,ast,verb_light_construction,VERB
faen un troll,troll,ast,verb_light_construction,VERB
faciendo troll,troll,ast,verb_light_construction,VERB
faciendo un troll,troll,ast,verb_light_construction,VERB
fechu troll,troll,ast,verb_light_construction,VERB
fechu un troll,troll,ast,verb_light_construction,VERB
trolliar,troll,ast,verb_morph_prescriptive,VERB
trolliáu,troll,ast,verb_participle_prescriptive,VERB
bug,bug,ast,noun_raw,NOUN
buges,bug,ast,noun_plural_native,NOUN
bugs,bug,ast,noun_plural_english,NOUN
server,server,ast,noun_raw,NOUN
serveres,server,ast,noun_plural_native,NOUN
servers,server,ast,noun_plural_english,NOUN
cloud,cloud,ast,noun_raw,NOUN
cloudes,cloud,ast,noun_plural_native,NOUN
clouds,cloud,ast,noun_plural_english,NOUN
software,software,ast,noun_raw,NOUN
softwares,software,ast,noun_plural_native,NOUN
hardware,hardware,ast,noun_raw,NOUN
hardwares,hardware,ast,noun_plural_native,NOUN
online,online,ast,noun_raw,NOUN
onlines,online,ast,noun_plural_native,NOUN
interface,interface,ast,noun_raw,NOUN
interfaces,interface,ast,noun_plural_native,NOUN
user,user,ast,noun_raw,NOUN
useres,user,ast,noun_plural_native,NOUN
users,user,ast,noun_plural_english,NOUN
bot,bot,ast,noun_raw,NOUN
botes,bot,ast,noun_plural_native,NOUN
bots,bot,ast,noun_plural_english,NOUN
app,app,ast,noun_raw,NOUN
appes,app,ast,noun_plural_native,NOUN
apps,app,ast,noun_plural_english,NOUN
pixel,pixel,ast,noun_raw,NOUN
pixeles,pixel,ast,noun_plural_native,NOUN
pixels,pixel,ast,noun_plural_english,NOUN
click,click,eu,noun_raw,NOUN
klika,click,eu,noun_integrated_sg,NOUN
klikak,click,eu,noun_integrated_pl,NOUN
klik egin,click,eu,verb_light_construction,VERB
klik egiten,click,eu,verb_light_construction,VERB
klik egingo,click,eu,verb_light_construction,VERB
klik egin du,click,eu,verb_light_construction,VERB
klik egin zen,click,eu,verb_light_construction,VERB
klikatu,click,eu,verb_morph_integrated,VERB
klikatzen,click,eu,verb_habitual,VERB
post,post,eu,noun_raw,NOUN
posta,post,eu,noun_integrated_sg,NOUN
postak,post,eu,noun_integrated_pl,NOUN
post egin,post,eu,verb_light_construction,VERB
post egiten,post,eu,verb_light_construction,VERB
post egingo,post,eu,verb_light_construction,VERB
post egin du,post,eu,verb_light_construction,VERB
post egin zen,post,eu,verb_light_construction,VERB
postatu,post,eu,verb_morph_integrated,VERB
postatzen,post,eu,verb_habitual,VERB
chat,chat,eu,noun_raw,NOUN
txata,chat,eu,noun_integrated_sg,NOUN
txatak,chat,eu,noun_integrated_pl,NOUN
txat egin,chat,eu,verb_light_construction,VERB
txat egiten,chat,eu,verb_light_construction,VERB
txat egingo,chat,eu,verb_light_construction,VERB
txat egin du,chat,eu,verb_light_construction,VERB
txat egin zen,chat,eu,verb_light_construction,VERB
txatatu,chat,eu,verb_morph_integrated,VERB
txatatzen,chat,eu,verb_habitual,VERB
link,link,eu,noun_raw,NOUN
linka,link,eu,noun_integrated_sg,NOUN
linkak,link,eu,noun_integrated_pl,NOUN
link egin,link,eu,verb_light_construction,VERB
link egiten,link,eu,verb_light_construction,VERB
link egingo,link,eu,verb_light_construction,VERB
link egin du,link,eu,verb_light_construction,VERB
link egin zen,link,eu,verb_light_construction,VERB
linkatu,link,eu,verb_morph_integrated,VERB
linkatzen,link,eu,verb_habitual,VERB
tag,tag,eu,noun_raw,NOUN
taga,tag,eu,noun_integrated_sg,NOUN
tagak,tag,eu,noun_integrated_pl,NOUN
tag egin,tag,eu,verb_light_construction,VERB
tag egiten,tag,eu,verb_light_construction,VERB
tag egingo,tag,eu,verb_light_construction,VERB
tag egin du,tag,eu,verb_light_construction,VERB
tag egin zen,tag,eu,verb_light_construction,VERB
tagatu,tag,eu,verb_morph_integrated,VERB
tagatzen,tag,eu,verb_habitual,VERB
tweet,tweet,eu,noun_raw,NOUN
tuita,tweet,eu,noun_integrated_sg,NOUN
tuitak,tweet,eu,noun_integrated_pl,NOUN
tuit egin,tweet,eu,verb_light_construction,VERB
tuit egiten,tweet,eu,verb_light_construction,VERB
tuit egingo,tweet,eu,verb_light_construction,VERB
tuit egin du,tweet,eu,verb_light_construction,VERB
tuit egin zen,tweet,eu,verb_light_construction,VERB
tuitatu,tweet,eu,verb_morph_integrated,VERB
tuitatzen,tweet,eu,verb_habitual,VERB
scan,scan,eu,noun_raw,NOUN
eskana,scan,eu,noun_integrated_sg,NOUN
eskanak,scan,eu,noun_integrated_pl,NOUN
eskan egin,scan,eu,verb_light_construction,VERB
eskan egiten,scan,eu,verb_light_construction,VERB
eskan egingo,scan,eu,verb_light_construction,VERB
eskan egin du,scan,eu,verb_light_construction,VERB
eskan egin zen,scan,eu,verb_light_construction,VERB
eskanatu,scan,eu,verb_morph_integrated,VERB
eskanatzen,scan,eu,verb_habitual,VERB
format,format,eu,noun_raw,NOUN
formata,format,eu,noun_integrated_sg,NOUN
formatak,format,eu,noun_integrated_pl,NOUN
format egin,format,eu,verb_light_construction,VERB
format egiten,format,eu,verb_light_construction,VERB
format egingo,format,eu,verb_light_construction,VERB
format egin du,format,eu,verb_light_construction,VERB
format egin zen,format,eu,verb_light_construction,VERB
formatatu,format,eu,verb_morph_integrated,VERB
formatatzen,format,eu,verb_habitual,VERB
hack,hack,eu,noun_raw,NOUN
haka,hack,eu,noun_integrated_sg,NOUN
hakak,hack,eu,noun_integrated_pl,NOUN
hak egin,hack,eu,verb_light_construction,VERB
hak egiten,hack,eu,verb_light_construction,VERB
hak egingo,hack,eu,verb_light_construction,VERB
hak egin du,hack,eu,verb_light_construction,VERB
hak egin zen,hack,eu,verb_light_construction,VERB
hakatu,hack,eu,verb_morph_integrated,VERB
hakatzen,hack,eu,verb_habitual,VERB
ban,ban,eu,noun_raw,NOUN
bana,ban,eu,noun_integrated_sg,NOUN
banak,ban,eu,noun_integrated_pl,NOUN
ban egin,ban,eu,verb_light_construction,VERB
ban egiten,ban,eu,verb_light_construction,VERB
ban egingo,ban,eu,verb_light_construction,VERB
ban egin du,ban,eu,verb_light_construction,VERB
ban egin zen,ban,eu,verb_light_construction,VERB
banatu,ban,eu,verb_morph_integrated,VERB
banatzen,ban,eu,verb_habitual,VERB
log,log,eu,noun_raw,NOUN
loga,log,eu,noun_integrated_sg,NOUN
logak,log,eu,noun_integrated_pl,NOUN
log egin,log,eu,verb_light_construction,VERB
log egiten,log,eu,verb_light_construction,VERB
log egingo,log,eu,verb_light_construction,VERB
log egin du,log,eu,verb_light_construction,VERB
log egin zen,log,eu,verb_light_construction,VERB
logatu,log,eu,verb_morph_integrated,VERB
logatzen,log,eu,verb_habitual,VERB
reset,reset,eu,noun_raw,NOUN
reseta,reset,eu,noun_integrated_sg,NOUN
resetak,reset,eu,noun_integrated_pl,NOUN
reset egin,reset,eu,verb_light_construction,VERB
reset egiten,reset,eu,verb_light_construction,VERB
reset egingo,reset,eu,verb_light_construction,VERB
reset egin du,reset,eu,verb_light_construction,VERB
reset egin zen,reset,eu,verb_light_construction,VERB
resetatu,reset,eu,verb_morph_integrated,VERB
resetatzen,reset,eu,verb_habitual,VERB
download,download,eu,noun_raw,NOUN
downloada,download,eu,noun_integrated_sg,NOUN
downloadak,download,eu,noun_integrated_pl,NOUN
download egin,download,eu,verb_light_construction,VERB
download egiten,download,eu,verb_light_construction,VERB
download egingo,download,eu,verb_light_construction,VERB
download egin du,download,eu,verb_light_construction,VERB
download egin zen,download,eu,verb_light_construction,VERB
downloadatu,download,eu,verb_morph_integrated,VERB
downloadatzen,download,eu,verb_habitual,VERB
stream,stream,eu,noun_raw,NOUN
estreama,stream,eu,noun_integrated_sg,NOUN
estreamak,stream,eu,noun_integrated_pl,NOUN
